engine_id,cycle,op1,sensor2,sensor3,sensor4,sensor7,sensor11,sensor12,sensor15,rul
1,1,0.0004,642.12,1588.53,1397.09,554.98,47.46,520.7,8.2797,251
1,2,0.0002,641.68,1589.98,1400.28,554.33,47.41,521.06,8.3201,250
1,3,0.0007,641.79,1589.55,1396.41,554.75,47.5,521.92,8.3488,249
1,4,-0.0001,642.36,1585.88,1404.28,554.51,47.3,522.66,8.3486,248
1,5,-0.0005,641.38,1589.18,1399.66,554.72,47.59,520.11,8.223,247
1,6,0.0006,641.49,1588.24,1404.64,554.48,48.07,521.73,8.416,246
1,7,0.0001,642.09,1590.95,1398.3,553.91,47.18,520.07,8.3677,245
1,8,0.0004,641.62,1591.57,1401.76,554.4,47.61,521.24,8.3961,244
1,9,-0.0006,642.84,1587.99,1404.16,554.7,47.67,519.69,8.3562,243
1,10,0.0005,642.1,1588.43,1403.75,553.98,47.66,519.96,8.3278,242
1,11,0.0006,643.49,1588.3,1399.13,554.27,47.78,523.6,8.425,241
1,12,0.0005,642.61,1587.48,1404.23,554.09,47.42,520.86,8.2759,240
1,13,0.0005,641.85,1589.75,1403.8,554.03,47.79,519.94,8.3043,239
1,14,0.0,642.01,1594.42,1401.25,553.81,47.47,520.73,8.3213,238
1,15,0.0001,641.96,1590.3,1399.25,553.82,47.87,522.19,8.3297,237
1,16,-0.0002,642.29,1593.52,1405.07,553.29,47.96,523.31,8.4153,236
1,17,-0.0006,641.7,1589.38,1401.54,554.44,47.66,521.34,8.3814,235
1,18,-0.0005,642.66,1594.64,1402.27,553.88,47.86,521.81,8.3101,234
1,19,0.0004,642.06,1590.29,1401.68,554.17,47.95,521.12,8.4182,233
1,20,-0.0004,642.89,1594.64,1403.38,553.78,47.6,521.04,8.3806,232
1,21,-0.0003,642.99,1591.25,1400.46,553.69,47.88,521.47,8.3494,231
1,22,0.0005,643.05,1592.32,1405.65,553.37,47.97,519.98,8.311,230
1,23,-0.0,642.63,1591.04,1398.44,553.9,48.01,520.2,8.3196,229
1,24,0.0001,643.13,1595.68,1402.95,554.05,47.46,520.89,8.3903,228
1,25,0.0006,641.65,1589.49,1406.68,554.22,47.69,521.37,8.5108,227
1,26,0.0004,642.63,1587.68,1401.93,553.94,47.88,520.71,8.3907,226
1,27,0.0001,642.85,1591.41,1402.09,553.68,47.67,519.99,8.2597,225
1,28,-0.0001,642.57,1589.07,1406.99,553.55,47.6,521.65,8.3551,224
1,29,-0.0005,642.97,1594.98,1400.9,553.28,47.95,519.3,8.3204,223
1,30,-0.0006,643.02,1590.37,1402.6,553.3,48.23,519.51,8.4416,222
1,31,-0.0005,642.6,1592.74,1397.09,553.87,47.73,521.45,8.3811,221
1,32,0.0005,643.1,1590.86,1399.27,553.5,47.94,519.34,8.286,220
1,33,0.0003,642.5,1590.51,1402.81,553.47,47.79,520.77,8.3817,219
1,34,-0.0004,643.32,1592.09,1405.03,554.33,47.92,522.24,8.3663,218
1,35,-0.0006,642.34,1592.24,1402.36,553.42,48.03,521.15,8.3674,217
1,36,0.0002,641.92,1591.19,1405.03,554.6,47.92,521.49,8.4707,216
1,37,0.0006,643.58,1592.97,1405.78,554.17,47.96,520.21,8.4177,215
1,38,0.0004,643.59,1589.67,1405.39,553.34,47.78,520.04,8.3918,214
1,39,0.0002,643.67,1589.44,1408.36,553.29,47.69,519.6,8.4969,213
1,40,-0.0002,643.07,1592.98,1403.54,552.9,48.22,522.26,8.4858,212
1,41,0.0003,642.94,1591.05,1406.98,553.62,47.65,520.72,8.4606,211
1,42,-0.0004,643.58,1593.47,1397.17,552.79,47.95,519.74,8.3904,210
1,43,-0.0006,643.38,1592.01,1403.41,554.11,47.81,520.28,8.4174,209
1,44,0.0001,642.81,1591.63,1404.84,553.58,48.33,521.15,8.4341,208
1,45,0.0005,643.12,1594.75,1402.66,553.06,47.69,520.31,8.4643,207
1,46,0.0005,643.4,1593.02,1403.69,552.92,48.23,520.04,8.5063,206
1,47,-0.0002,642.8,1594.16,1402.16,552.86,47.91,518.68,8.4948,205
1,48,0.0004,643.58,1593.67,1406.61,553.08,48.19,519.59,8.2943,204
1,49,-0.0006,642.09,1594.9,1398.8,553.57,48.02,520.39,8.3956,203
1,50,-0.0005,643.52,1591.27,1401.67,553.8,47.92,519.93,8.3912,202
1,51,-0.0006,642.95,1591.75,1401.02,553.82,47.93,519.17,8.3569,201
1,52,-0.0001,643.09,1596.25,1400.25,553.13,48.01,521.69,8.3387,200
1,53,0.0006,642.89,1593.23,1409.01,553.17,48.17,519.96,8.4958,199
1,54,-0.0001,643.2,1593.43,1408.58,553.35,48.02,521.58,8.4404,198
1,55,0.0006,644.36,1594.18,1403.03,553.68,47.98,519.26,8.3887,197
1,56,-0.0004,643.13,1593.71,1406.53,553.25,48.05,521.16,8.4285,196
1,57,-0.0003,643.35,1598.17,1409.31,553.11,48.38,520.38,8.4468,195
1,58,0.0007,644.06,1596.37,1409.03,552.95,48.18,520.18,8.523,194
1,59,-0.0001,643.56,1594.28,1411.0,553.26,48.13,521.21,8.4621,193
1,60,-0.0006,644.02,1593.53,1403.92,552.83,48.06,517.94,8.4868,192
1,61,0.0001,644.93,1591.13,1410.28,552.91,48.31,518.81,8.4929,191
1,62,0.0,643.67,1593.54,1406.58,553.31,48.1,518.41,8.3799,190
1,63,-0.0007,644.66,1598.21,1407.96,553.02,48.15,518.84,8.4157,189
1,64,-0.0,643.71,1593.75,1411.6,552.98,48.02,519.81,8.4102,188
1,65,0.0007,644.28,1593.71,1408.06,552.84,48.6,519.85,8.471,187
1,66,0.0005,643.52,1592.91,1408.54,552.79,48.21,518.79,8.4818,186
1,67,0.0001,643.17,1594.1,1404.87,552.4,48.54,518.23,8.5836,185
1,68,0.0003,643.67,1597.92,1410.17,552.41,48.49,520.21,8.4425,184
1,69,0.0002,644.0,1590.53,1407.57,552.93,48.25,517.19,8.4988,183
1,70,-0.0007,644.11,1593.85,1407.51,553.22,48.42,519.72,8.55,182
1,71,-0.0,643.86,1594.92,1408.16,552.71,48.68,519.67,8.4522,181
1,72,0.0,644.17,1593.59,1407.74,552.41,48.58,521.44,8.3676,180
1,73,0.0001,644.45,1592.02,1413.56,552.73,48.3,519.5,8.4894,179
1,74,-0.0001,644.49,1593.09,1402.75,552.95,48.42,519.84,8.5036,178
1,75,0.0004,643.98,1595.08,1408.51,552.48,48.31,519.89,8.5563,177
1,76,-0.0001,644.65,1595.33,1407.52,553.06,48.82,521.25,8.3938,176
1,77,-0.0002,644.61,1589.6,1399.84,553.26,48.63,518.33,8.4307,175
1,78,0.0005,644.55,1597.75,1406.69,553.06,48.6,518.69,8.4962,174
